,DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare2ndQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare
0,2019-03-27,15:00:00,23300,20190327496155,FYFinancialStatements_Consolidated_JP,FY,2018-01-01,2018-12-31,2018-01-01,2018-12-31,2019-01-01,2019-12-31,3920000000,-210000000,-201000000,-592000000,-19.13,3992000000,1898000000,0.426,54.22,24000000,-875000000,895000000,489000000,0.0,0.0,0.0,,,,,,4171000000,10000000,4000000,-55000000,-1.78,false,false,false,false,false,31397704,14484,30988301,177000000,-16000000,-93000000,-302000000,-9.77,1885000000,1857000000,0.972,58.39
1,2019-05-14,15:00:00,23300,20190514425000,1QFinancialStatements_Consolidated_JP,1Q,2019-01-01,2019-03-31,2019-01-01,2019-12-31,,,808000000,-67000000,-58000000,-169000000,-5.41,3101000000,1056000000,0.333,32.87,,,,,,,,4171000000,10000000,4000000,10000000,0.32,,,,,,false,false,false,false,false,31397704,14884,31382976,,,,,,,,,
3,2019-08-14,15:00:00,23300,20190814488247,2QFinancialStatements_Consolidated_JP,2Q,2019-01-01,2019-06-30,2019-01-01,2019-12-31,,,1924000000,2000000,23000000,-111000000,-3.56,3147000000,1082000000,0.336,33.7,69406000,538545000,-663979000,433946000,0.0,,,4588000000,54000000,60000000,-52000000,-1.66,,,,,,false,false,false,false,false,31397704,14754,31382965,,,,,,,,,
4,2019-11-11,15:00:00,23300,20191111423830,3QFinancialStatements_Consolidated_JP,3Q,2019-01-01,2019-09-30,2019-01-01,2019-12-31,,,3017000000,-20000000,1000000,-130000000,-4.16,3213000000,1051000000,0.319,32.71,,,,,0.0,,,4588000000,54000000,60000000,-52000000,-1.66,,,,,,true,false,false,false,false,31397704,14874,31382941,,,,,,,,,
5,2020-02-14,15:00:00,23300,20200214465562,FYFinancialStatements_Consolidated_JP,FY,2019-01-01,2019-12-31,2019-01-01,2019-12-31,2020-01-01,2020-12-31,4040000000,-77000000,-47000000,-156000000,-4.95,3687000000,1425000000,0.38,43.08,8000000,230000000,-262000000,466000000,0.0,0.0,0.0,,,,,,4450000000,50000000,55000000,35000000,1.14,false,false,false,false,false,32557704,15314,31541762,241000000,40000000,20000000,-60000000,-1.93,2573000000,2205000000,0.848,67.03
6,2020-05-15,15:00:00,23300,20200515416119,1QFinancialStatements_Consolidated_JP,1Q,2020-01-01,2020-03-31,2020-01-01,2020-12-31,,,874000000,-105000000,-66000000,-344000000,-10.59,3288000000,1055000000,0.314,31.71,,,,,,,,,,,,,,,,,,false,false,false,false,false,32557704,15424,32542334,,,,,,,,,
7,2020-08-14,15:00:00,23300,20200814482056,2QFinancialStatements_Consolidated_JP,2Q,2020-01-01,2020-06-30,2020-01-01,2020-12-31,,,1889000000,-97000000,-51000000,-346000000,-10.66,3555000000,1096000000,0.304,33.21,-118093000,193600000,90902000,632833000,0.0,,,,,,,,,,,,,false,false,false,false,false,32557704,15474,32542315,,,,,,,,,
9,2020-11-13,15:00:00,23300,20201113423758,3QFinancialStatements_Consolidated_JP,3Q,2020-01-01,2020-09-30,2020-01-01,2020-12-31,,,2859000000,-119000000,-68000000,-367000000,-11.29,3621000000,1074000000,0.292,32.53,,,,,0.0,,,3876000000,-208000000,-157000000,-457000000,-14.07,,,,,,false,false,false,false,false,32557704,15844,32542201,,,,,,,,,
10,2021-02-12,15:00:00,23300,20210212463193,FYFinancialStatements_Consolidated_JP,FY,2020-01-01,2020-12-31,2020-01-01,2020-12-31,2021-01-01,2021-12-31,4033000000,-105000000,-49000000,-348000000,-10.72,3841000000,1095000000,0.281,33.16,112000000,187000000,282000000,1046000000,0.0,0.0,0.0,,,,,,4206000000,110000000,109000000,124000000,3.81,false,false,false,false,false,32557704,16394,32542058,226000000,67000000,68000000,-1468000000,-45.12,1029000000,753000000,0.716,22.66
11,2021-05-14,15:30:00,23300,20210513417176,1QFinancialStatements_Consolidated_JP,1Q,2021-01-01,2021-03-31,2021-01-01,2021-12-31,,,1097000000,29000000,30000000,56000000,1.72,3837000000,1131000000,0.295,34.76,,,,,,,,4206000000,110000000,109000000,124000000,3.81,,,,,,false,false,false,false,false,32557704,17014,32540987,,,,,,,,,
12,2021-08-13,15:00:00,23300,20210812485022,2QFinancialStatements_Consolidated_JP,2Q,2021-01-01,2021-06-30,2021-01-01,2021-12-31,,,2452000000,141000000,142000000,164000000,5.07,4321000000,1239000000,0.287,38.08,77661000,-168151000,159822000,1119367000,0.0,,,4206000000,110000000,109000000,124000000,3.81,,,,,,false,false,false,false,false,32557704,17314,32540711,,,,,,,,,
13,2021-11-12,15:00:00,23300,20211112433977,3QFinancialStatements_Consolidated_JP,3Q,2021-01-01,2021-09-30,2021-01-01,2021-12-31,,,3669000000,200000000,200000000,217000000,6.68,4290000000,1297000000,0.301,39.68,,,,,0.0,,,4860000000,210000000,208000000,221000000,6.79,,,,,,false,false,false,false,false,32557704,17534,32540565,,,,,,,,,
15,2022-02-14,15:00:00,23300,20220214588853,FYFinancialStatements_Consolidated_JP,FY,2021-01-01,2021-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31,4894000000,187000000,182000000,85000000,2.64,4426000000,1166000000,0.263,35.76,180000000,-163000000,194000000,1263000000,0.0,0.0,0.0,,,,,,5017000000,133000000,125000000,107000000,3.29,false,false,false,false,false,32557704,18064,32540397,258000000,50000000,5000000,-105000000,-3.25,1126000000,630000000,0.56,19.37
16,2022-05-13,15:15:00,23300,20220512544415,1QFinancialStatements_Consolidated_JP,1Q,2022-01-01,2022-03-31,2022-01-01,2022-12-31,,,979000000,-53000000,-55000000,-64000000,-1.97,4187000000,1103000000,0.263,33.82,,,,,,,,5017000000,133000000,125000000,107000000,3.29,,,,,,false,true,false,false,false,32557704,18254,32539527,,,,,,,,,
17,2022-08-12,15:15:00,23300,20220810518269,2QFinancialStatements_Consolidated_JP,2Q,2022-01-01,2022-06-30,2022-01-01,2022-12-31,,,2349000000,-59000000,-54000000,-68000000,-2.1,4243000000,1098000000,0.258,33.69,-69041000,99181000,-99173000,1198747000,0.0,,,5017000000,133000000,125000000,107000000,3.29,,,,,,false,true,false,false,false,32557704,18574,32539422,,,,,,,,,
18,2022-11-11,15:10:00,23300,20221110562355,3QFinancialStatements_Consolidated_JP,3Q,2022-01-01,2022-09-30,2022-01-01,2022-12-31,,,3631000000,-79000000,-75000000,-85000000,-2.64,4165000000,1080000000,0.259,33.16,,,,,0.0,,,4985000000,-99000000,-97000000,-114000000,-3.5,,,,,,false,true,false,false,false,32557704,18904,32539258,,,,,,,,,
19,2023-02-13,15:10:00,23300,20230210506242,FYFinancialStatements_Consolidated_JP,FY,2022-01-01,2022-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,4988000000,-75000000,-74000000,-107000000,-3.31,4249000000,1055000000,0.248,32.44,-329000000,124000000,-120000000,941000000,0.0,0.0,0.0,,,,,,4919000000,145000000,139000000,133000000,4.11,false,true,false,false,false,32557704,19284,32539103,229000000,33000000,18000000,-11000000,-0.34,994000000,619000000,0.623,19.03
20,2023-05-12,15:10:00,23300,20230510564128,1QFinancialStatements_Consolidated_JP,1Q,2023-01-01,2023-03-31,2023-01-01,2023-12-31,,,1053000000,-7000000,-11000000,5000000,0.18,4192000000,1061000000,0.253,32.61,,,,,,,,4919000000,145000000,139000000,133000000,4.11,,,,,,true,false,false,false,false,32557704,19554,32538327,,,,,,,,,
21,2023-08-14,15:10:00,23300,20230810540637,2QFinancialStatements_Consolidated_JP,2Q,2023-01-01,2023-06-30,2023-01-01,2023-12-31,,,2305000000,53000000,49000000,55000000,1.7,4302000000,1112000000,0.259,34.2,318638000,-35808000,23246000,1251001000,0.0,,,4919000000,145000000,139000000,133000000,4.11,,,,,,true,false,false,false,false,32557704,19774,32538177,,,,,,,,,
22,2023-11-13,15:10:00,23300,20231110586608,3QFinancialStatements_Consolidated_JP,3Q,2023-01-01,2023-09-30,2023-01-01,2023-12-31,,,3570000000,56000000,50000000,48000000,1.47,4536000000,1513000000,0.334,40.17,,,,,0.0,,,4919000000,145000000,139000000,133000000,3.89,,,,,,true,false,false,false,false,37687704,20184,33233314,,,,,,,,,
23,2024-02-13,15:10:00,23300,20240213533374,FYFinancialStatements_Consolidated_JP,FY,2023-01-01,2023-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,4817000000,52000000,44000000,113000000,3.31,4448000000,1575000000,0.354,41.82,115000000,-61000000,192000000,1190000000,0.0,0.0,0.0,,,,,,5088000000,103000000,128000000,100000000,2.66,true,false,false,false,false,37687704,20494,34350946,247000000,49000000,47000000,-23000000,-0.67,1131000000,1001000000,0.885,26.58
