,Quarter,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,BookValuePerShare,ReturnOnEquity
0,2018/4Q,3920000000,-210000000,-201000000,-592000000,-19.13,54.22,-31.2
1,2019/1Q,808000000,-67000000,-58000000,-169000000,-5.41,32.87,-16.0
3,2019/2Q,1924000000,2000000,23000000,-111000000,-3.56,33.7,-10.3
4,2019/3Q,3017000000,-20000000,1000000,-130000000,-4.16,32.71,-12.4
5,2019/4Q,4040000000,-77000000,-47000000,-156000000,-4.95,43.08,-10.9
6,2020/1Q,874000000,-105000000,-66000000,-344000000,-10.59,31.71,-32.6
7,2020/2Q,1889000000,-97000000,-51000000,-346000000,-10.66,33.21,-31.6
9,2020/3Q,2859000000,-119000000,-68000000,-367000000,-11.29,32.53,-34.2
10,2020/4Q,4033000000,-105000000,-49000000,-348000000,-10.72,33.16,-31.8
11,2021/1Q,1097000000,29000000,30000000,56000000,1.72,34.76,5.0
12,2021/2Q,2452000000,141000000,142000000,164000000,5.07,38.08,13.2
13,2021/3Q,3669000000,200000000,200000000,217000000,6.68,39.68,16.7
15,2021/4Q,4894000000,187000000,182000000,85000000,2.64,35.76,7.3
16,2022/1Q,979000000,-53000000,-55000000,-64000000,-1.97,33.82,-5.8
17,2022/2Q,2349000000,-59000000,-54000000,-68000000,-2.1,33.69,-6.2
18,2022/3Q,3631000000,-79000000,-75000000,-85000000,-2.64,33.16,-7.9
19,2022/4Q,4988000000,-75000000,-74000000,-107000000,-3.31,32.44,-10.1
20,2023/1Q,1053000000,-7000000,-11000000,5000000,0.18,32.61,0.5
21,2023/2Q,2305000000,53000000,49000000,55000000,1.7,34.2,4.9
22,2023/3Q,3570000000,56000000,50000000,48000000,1.47,40.17,3.2
23,2023/4Q,4817000000,52000000,44000000,113000000,3.31,41.82,7.2
