,Quarter,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare
0,2018/4Q,166852000000,76252000000,0.452,1673.03
1,2018/4Q,167289000000,77120000000,0.456,1692.27
2,2019/1Q,204390000000,77823000000,0.377,
3,2019/2Q,201972000000,79014000000,0.387,
5,2019/3Q,204934000000,81431000000,0.393,
6,2019/4Q,206524000000,80057000000,0.383,1753.97
7,2020/1Q,205349000000,81668000000,0.393,
8,2020/2Q,206455000000,83815000000,0.401,
9,2020/3Q,210108000000,86172000000,0.405,
10,2020/4Q,220777000000,90972000000,0.407,997.24
11,2021/1Q,217263000000,93583000000,0.426,
12,2021/2Q,222729000000,98247000000,0.436,
13,2021/3Q,224599000000,100992000000,0.445,
14,2021/4Q,231805000000,104621000000,0.447,1146.32
15,2022/1Q,225730000000,106620000000,0.467,
16,2022/2Q,235160000000,111505000000,0.469,
17,2022/3Q,234858000000,113165000000,0.477,
18,2022/4Q,246193000000,119302000000,0.48,653.67
19,2023/1Q,247888000000,111178000000,0.444,
20,2023/2Q,259108000000,116565000000,0.445,
21,2023/3Q,262530000000,118247000000,0.445,
