,Quarter,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents
0,2019/1Q,,,,
2,2019/2Q,69406000,538545000,-663979000,433946000
3,2019/3Q,,,,
4,2019/4Q,8000000,230000000,-262000000,466000000
5,2020/1Q,,,,
6,2020/2Q,-118093000,193600000,90902000,632833000
8,2020/3Q,,,,
9,2020/4Q,112000000,187000000,282000000,1046000000
10,2021/1Q,,,,
11,2021/2Q,77661000,-168151000,159822000,1119367000
12,2021/3Q,,,,
14,2021/4Q,180000000,-163000000,194000000,1263000000
15,2022/1Q,,,,
16,2022/2Q,-69041000,99181000,-99173000,1198747000
17,2022/3Q,,,,
18,2022/4Q,-329000000,124000000,-120000000,941000000
19,2023/1Q,,,,
20,2023/2Q,318638000,-35808000,23246000,1251001000
21,2023/3Q,,,,
22,2023/4Q,115000000,-61000000,192000000,1190000000
